,지역구,인구 수,2022 반려동물 등록 수,구별 반려동물 등록비율
0,가평군,62197,4017,0.06458510860652443
1,고양시덕양구,487874,28994,0.05942927887118395
2,고양시일산서구,296590,23896,0.08056913584409454
3,고양시일산동구,290738,20587,0.07080945731208167
4,과천시,77775,2974,0.038238508518161365
5,광명시,288182,20161,0.0699592618553553
6,광주시,391704,29042,0.0741427200130711
7,구리시,188876,12381,0.06555094347614308
8,군포시,266531,16187,0.06073214748003047
9,김포시,484194,7912,0.016340557710339244
10,남양주시,737366,42957,0.05825736472796413
11,동두천시,91735,6998,0.07628495121818281
12,부천시소사구,263755,14962,0.05672688669409111
13,부천시오정구,321478,12912,0.040164490260608816
14,부천시원미구,206030,29072,0.14110566422365675
15,성남시분당구,482026,27202,0.05643264056295719
16,성남시수정구,232125,14229,0.06129886914378029
17,성남시중원구,206211,14297,0.06933189791039275
18,수원시권선구,367004,20895,0.056933984370742555
19,수원시영통구,360127,17068,0.04739439142302577
20,수원시장안구,271012,15418,0.05689046979469544
21,수원시팔달구,192225,11949,0.06216152945766679
22,시흥시,512438,30539,0.0595955022851545
23,안산시단원구,297509,19720,0.0662837090642636
24,안산시상록구,345535,23359,0.0676024136484003
25,안성시,189146,9975,0.052737039112643144
26,안양시동안구,314102,19065,0.060696843700453994
27,안양시만안구,234296,16579,0.07076091781336429
28,양주시,241346,15404,0.0638253793309191
29,양평군,122463,13291,0.10853073989694846
30,여주시,113096,5252,0.0464384239937752
31,연천군,42153,2020,0.04792066994045501
32,오산시,229833,14471,0.06296310799580565
33,용인시기흥구,438500,18761,0.042784492588369444
34,용인시수지구,377198,18223,0.048311496879622905
35,용인시처인구,259872,13243,0.05095970323851742
36,의왕시,160464,6590,0.041068401635257754
37,의정부시,463789,58997,0.12720655297991112
38,이천시,223151,13147,0.05891526365555162
39,파주시,494970,24057,0.04860294563306867
40,평택시,577335,30234,0.05236820909870352
41,포천시,147019,11168,0.07596297077248519
42,하남시,325310,17634,0.0542067566321355
43,화성시,907958,48264,0.053156643809515416
