,지역구,인구 수,반려동물 수,반려동물 조사연도,가중치,2022 반려동물 등록 수,구별 반려동물 보유 비율,위도,경도
0,강남구,529698,31371,2022,1.0,31371,0.059224312721588526,37.4951,127.06278
1,강동구,460258,18281,2021,1.098,20072,0.03971902715433518,37.55274,127.14546
2,강북구,293984,16179,2022,1.0,16179,0.05503360727114401,37.6349,127.02015
3,강서구,569456,28055,2022,1.0,28055,0.04926631732741423,37.56227,126.81622
4,관악구,487038,25027,2022,1.0,25027,0.051386134141483825,37.47876,126.95235
5,광진구,337713,2672,2021,1.098,2933,0.007912043658372642,37.53913,127.08366
6,구로구,394811,8905,2022,1.0,8905,0.022555095982634728,37.49447,126.8502
7,금천구,229890,12650,2022,1.0,12650,0.055026316934185915,37.47486,126.89106
8,노원구,504609,1267,2022,1.0,1267,0.002510854939170724,37.66045,127.06718
9,도봉구,312053,14676,2021,1.098,16114,0.04703047238770337,37.65066,127.03011
10,동대문구,337241,19565,2022,1.0,19565,0.058014891427791995,37.58189,127.05408
11,동작구,381704,18989,2022,1.0,18989,0.04974797225074927,37.50056,126.95149
12,마포구,364374,19474,2022,1.0,19474,0.053445086641747214,37.55438,126.90926
13,서대문구,305541,16944,2022,1.0,16944,0.05545573261853565,37.57809,126.93506
14,서초구,404704,23953,2021,1.098,26300,0.05918646714635882,37.49447,127.01088
15,성동구,281370,16943,2022,1.0,16943,0.0602160855812631,37.54784,127.02461
16,성북구,431047,21877,2021,1.098,24020,0.05075316612805564,37.60267,127.01448
17,송파구,659381,30488,2021,1.098,33475,0.046237304380926963,37.5021,127.11113
18,양천구,441550,24563,2022,1.0,24563,0.05562903408447514,37.52056,126.87472
19,영등포구,375785,18825,2022,1.0,18825,0.05009513418577112,37.52606,126.90308
20,용산구,218945,17717,2022,1.0,17717,0.08091986571970129,37.53391,126.9775
21,은평구,467851,21868,2022,1.0,21868,0.04674137706235532,37.61846,126.9278
22,종로구,141650,9753,2022,1.0,9753,0.0688528062124956,37.5729,126.97928
23,중구,120545,7922,2022,1.0,7922,0.06571819652411963,37.55986,126.99398
24,중랑구,385638,19622,2021,1.098,21544,0.05088191516396206,37.60199,127.10461
